format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
weights,file,4194304,1,0,4096,0,118,0.0
weights,file,4096,2,1,1,0,121534,0.0
weights,file,4096,2,1,16,0,121534,0.0
weights,file,4096,2,1,256,0,121534,0.0
weights,file,4096,2,1,4096,3,121534,2.5e-05
weights,file,65536,2,1,1,0,7595,0.0
weights,file,65536,2,1,16,0,7595,0.0
weights,file,65536,2,1,256,0,7595,0.0
weights,file,65536,2,1,4096,0,7595,0.0
weights,file,1048576,2,1,1,0,474,0.0
weights,file,1048576,2,1,16,0,474,0.0
weights,file,1048576,2,1,256,0,474,0.0
weights,file,1048576,2,1,4096,0,474,0.0
weights,file,4194304,2,1,1,0,118,0.0
weights,file,4194304,2,1,16,0,118,0.0
weights,file,4194304,2,1,256,0,118,0.0
weights,file,4194304,2,1,4096,0,118,0.0
weights,file,4096,3,2,1,0,121534,0.0
weights,file,4096,3,2,16,0,121534,0.0
weights,file,4096,3,2,256,0,121534,0.0
weights,file,4096,3,2,4096,3,121534,2.5e-05
weights,file,65536,3,2,1,0,7595,0.0
weights,file,65536,3,2,16,0,7595,0.0
weights,file,65536,3,2,256,0,7595,0.0
weights,file,65536,3,2,4096,0,7595,0.0
weights,file,1048576,3,2,1,0,474,0.0
weights,file,1048576,3,2,16,0,474,0.0
weights,file,1048576,3,2,256,0,474,0.0
weights,file,1048576,3,2,4096,0,474,0.0
weights,file,4194304,3,2,1,0,118,0.0
weights,file,4194304,3,2,16,0,118,0.0
weights,file,4194304,3,2,256,0,118,0.0
weights,file,4194304,3,2,4096,0,118,0.0
weights,file,4096,4,3,1,0,121534,0.0
weights,file,4096,4,3,16,0,121534,0.0
weights,file,4096,4,3,256,0,121534,0.0
weights,file,4096,4,3,4096,3,121534,2.5e-05
weights,file,65536,4,3,1,0,7595,0.0
weights,file,65536,4,3,16,0,7595,0.0
weights,file,65536,4,3,256,0,7595,0.0
weights,file,65536,4,3,4096,0,7595,0.0
weights,file,1048576,4,3,1,0,474,0.0
weights,file,1048576,4,3,16,0,474,0.0
weights,file,1048576,4,3,256,0,474,0.0
weights,file,1048576,4,3,4096,0,474,0.0
weights,file,4194304,4,3,1,0,118,0.0
weights,file,4194304,4,3,16,0,118,0.0
weights,file,4194304,4,3,256,0,118,0.0
weights,file,4194304,4,3,4096,0,118,0.0
weights,file,4096,5,4,1,0,121534,0.0
weights,file,4096,5,4,16,0,121534,0.0
weights,file,4096,5,4,256,0,121534,0.0
weights,file,4096,5,4,4096,3,121534,2.5e-05
weights,file,65536,5,4,1,0,7595,0.0
weights,file,65536,5,4,16,0,7595,0.0
weights,file,65536,5,4,256,0,7595,0.0
weights,file,65536,5,4,4096,0,7595,0.0
weights,file,1048576,5,4,1,0,474,0.0
weights,file,1048576,5,4,16,0,474,0.0
weights,file,1048576,5,4,256,0,474,0.0
weights,file,1048576,5,4,4096,0,474,0.0
